Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Full_Name, AGE AVR,Attendance AVG,AVERAGE STUDY HOUR,AVERAGE SLEEP HOUR
S1118,Liam,Brown,student118@university.com,Male,24,CS,87.59,73.13,94.18,54.18,51.15,3.99,67.06,67.57,B,16,No,Yes,High School,High,2,7,Liam Brown,,,,
S1119,Ahmed,Johnson,student119@university.com,Female,20,Business,87.35,75.15,52.49,84.93,79.45,2.81,65.65,75.67,A,5,No,Yes,None,Medium,6,5,Ahmed Johnson,,,,
S1120,Liam,Davis,student120@university.com,Female,24,CS,67.25,58.15,55.54,59.53,56.10,2.35,71.57,63.04,B,6,Yes,Yes,,Medium,8,5,Liam Davis,,,,
S1121,Ahmed,Johnson,student121@university.com,Male,20,Mathematics,76.11,78.39,50.83,65.83,60.69,6.81,84.52,81.74,C,8,Yes,Yes,None,Medium,9,8,Ahmed Johnson,,,,
S1122,Sara,Brown,student122@university.com,Male,21,Mathematics,68.00,89.77,51.76,56.82,85.86,8.96,54.22,80.82,B,25,No,Yes,,Low,10,7,Sara Brown,,,,
S1123,Omar,Davis,student123@university.com,Male,19,CS,50.80,99.88,94.47,66.61,65.66,7.55,85.53,54.01,D,19,Yes,Yes,PhD,High,3,9,Omar Davis,,,,
S1124,Ahmed,Brown,student124@university.com,Male,21,CS,78.12,90.31,95.87,64.02,58.16,8.35,96.31,95.53,D,10,Yes,Yes,PhD,Medium,5,9,Ahmed Brown,,,,
S1125,Liam,Jones,student125@university.com,Female,24,Business,56.19,73.45,43.11,86.82,78.87,7.81,88.18,73.03,C,12,No,Yes,Bachelor's,High,5,6,Liam Jones,,,,
S1126,Sara,Davis,student126@university.com,Male,21,CS,54.00,51.61,75.62,85.10,60.75,9.79,59.58,59.76,F,21,Yes,Yes,,Low,8,5,Sara Davis,,,,
S1127,Ali,Davis,student127@university.com,Male,20,CS,87.77,80.89,73.85,97.75,63.55,7.58,54.37,65.37,A,13,No,Yes,Bachelor's,High,1,6,Ali Davis,,,,
S1128,Maria,Brown,student128@university.com,Male,18,CS,50.48,96.26,63.43,86.22,81.07,2.10,74.52,93.31,D,22,No,Yes,PhD,Low,3,4,Maria Brown,,,,
S1129,Maria,Jones,student129@university.com,Male,20,Engineering,97.95,52.71,77.90,84.74,86.99,7.92,97.82,69.16,A,25,Yes,No,Master's,Low,6,8,Maria Jones,,,,
S1130,Maria,Williams,student130@university.com,Male,22,Business,75.76,55.36,96.84,84.71,86.98,3.22,90.95,78.10,A,13,Yes,Yes,High School,Low,6,5,Maria Williams,,,,
S1131,Ahmed,Johnson,student131@university.com,Female,21,CS,99.15,48.94,50.22,94.15,74.11,9.96,78.14,97.38,A,14,No,Yes,PhD,High,4,8,Ahmed Johnson,,,,
S1132,Ali,Brown,student132@university.com,Female,23,CS,52.90,84.20,47.22,64.81,72.71,3.77,57.15,82.59,D,6,No,Yes,,Low,5,6,Ali Brown,,,,
S1133,Ahmed,Davis,student133@university.com,Male,21,Mathematics,79.18,64.39,42.00,,89.38,2.93,85.69,83.79,D,26,No,Yes,Master's,Medium,10,5,Ahmed Davis,,,,
S1134,Omar,Johnson,student134@university.com,Male,19,Business,67.47,43.76,61.83,87.06,59.65,2.39,90.65,62.43,A,20,No,Yes,None,Low,3,7,Omar Johnson,,,,
S1135,Ahmed,Johnson,student135@university.com,Female,24,Engineering,92.17,92.50,60.26,61.44,57.61,6.59,96.75,83.41,A,27,No,Yes,Master's,Low,4,7,Ahmed Johnson,,,,
S1136,Ali,Johnson,student136@university.com,Male,23,Business,,73.46,65.85,95.60,83.23,1.09,80.61,69.69,F,10,Yes,Yes,PhD,Medium,10,8,Ali Johnson,,,,
S1137,Ali,Williams,student137@university.com,Female,20,Engineering,63.02,59.87,70.20,76.74,70.48,9.54,75.72,95.55,C,29,No,Yes,,High,10,6,Ali Williams,,,,
S1138,Omar,Smith,student138@university.com,Female,19,Business,92.88,60.64,85.47,,85.50,2.94,80.96,56.48,A,23,No,Yes,,Low,1,9,Omar Smith,,,,
S1139,Ali,Brown,student139@university.com,Male,21,CS,68.73,57.42,63.53,88.80,62.83,2.95,97.16,64.28,D,10,Yes,Yes,,Medium,6,6,Ali Brown,,,,
S1140,Liam,Smith,student140@university.com,Female,20,CS,50.84,67.33,59.84,65.62,66.24,0.46,81.41,53.30,D,17,No,Yes,Bachelor's,Medium,5,8,Liam Smith,,,,
S1141,Ali,Smith,student141@university.com,Male,20,Business,69.51,60.22,89.61,98.16,94.83,2.46,62.88,69.05,B,23,No,Yes,,Low,5,4,Ali Smith,,,,
S1142,Maria,Smith,student142@university.com,Male,22,Engineering,82.73,72.88,90.99,,71.08,4.19,81.81,57.42,A,5,No,Yes,,High,4,8,Maria Smith,,,,
S1143,Liam,Johnson,student143@university.com,Female,22,Mathematics,62.72,86.41,53.97,83.34,79.55,3.70,93.99,92.26,B,25,Yes,Yes,PhD,Medium,9,7,Liam Johnson,,,,
S1144,Liam,Jones,student144@university.com,Female,18,CS,71.60,80.47,58.88,55.68,55.33,2.73,78.35,96.25,D,29,No,Yes,Bachelor's,High,9,7,Liam Jones,,,,
S1145,Omar,Johnson,student145@university.com,Male,22,Mathematics,52.84,57.67,89.51,63.16,58.94,0.41,75.13,83.47,F,7,No,Yes,None,Low,5,6,Omar Johnson,,,,
S1146,John,Johnson,student146@university.com,Female,24,Mathematics,79.40,71.72,44.76,75.77,51.79,3.01,86.67,55.17,F,28,No,Yes,Bachelor's,Low,7,7,John Johnson,,,,
